ataChapterId;ataChapterName;groupName;groupCode
00;GENERAL;Aircraft General;AG
01;MAINTENANCE POLICY;Aircraft General;AG
02;OPERATIONS;Aircraft General;AG
03;SUPPORT;Aircraft General;AG
04;AIRWORTHINESS LIMITATIONS;Aircraft General;AG
05;TIME LIMITS/MAINTENANCE CHECKS;Aircraft General;AG
06;DIMENSIONS AND AREAS;Aircraft General;AG
07;LIFTING AND SHORING;Aircraft General;AG
08;LEVELING AND WEIGHING;Aircraft General;AG
09;TOWING AND TAXIING;Aircraft General;AG
10;PARKING, MOORING, STORAGE AND RETURN TO SERVICE;Aircraft General;AG
11;PLACARDS AND MARKINGS;Aircraft General;AG
12;SERVICING;Aircraft General;AG
13;HARDWARE AND GENERAL TOOLS;Aircraft General;AG
15;AIRCREW INFORMATION;Aircraft General;AG
16;CHANGE OF ROLE;Aircraft General;AG
18;VIBRATION AND NOISE ANALYSIS (HELICOPTER ONLY);Aircraft General;AG
20;STANDARD PRACTICES- AIRFRAME;Aircraft General;AG
21;AIR CONDITIONING;MECH-INT;INT
22;AUTO FLIGHT;AVIO;AVIO
23;COMMUNICATION;AVIO;AVIO
24;ELECTRICAL POWER;AVIO;AVIO
25;EQUIPMENT /FURNISHINGS;MECH-INT;INT
26;FIRE PROTECTION;AVIO;AVIO
27;FLIGHT CONTROLS;MECH-EXT;EXT
28;FUEL;MECH-EXT;EXT
29;HYDRAULIC POWER;MECH-LDG;LDG
30;ICE AND RAIN PROTECTION;AVIO;AVIO
31;INDICATING / RECORDING SYSTEM;AVIO;AVIO
32;LANDING GEAR;MECH-LDG;LDG
33;LIGHTS;AVIO;AVIO
34;NAVIGATION;AVIO;AVIO
35;OXYGEN;MECH-INT;INT
36;PNEUMATIC;MECH-INT;INT
37;VACUUM;MECH-INT;INT
38;WATER / WASTE;MECH-INT;INT
39;ELECTRICAL - ELECTRONIC PANELS AND MULTIPURPOSE COMPONENTS;AVIO;AVIO
40;MULTISYSTEM;AVIO;AVIO
41;WATER BALLAST;MECH-INT;INT
42;INTEGRATED MODULAR AVIONICS;AVIO;AVIO
44;CABIN SYSTEMS;AVIO;AVIO
45;ONBOARD MAINTENANCE SYSTEMS (OMS);AVIO;AVIO
46;INFORMATION SYSTEMS;AVIO;AVIO
47;INERT GAS SYSTEM;MECH-EXT;EXT
48;IN FLIGHT FUEL DISPENSING;MECH-EXT;EXT
49;AIRBORNE AUXILIARY POWER;MECH-ENG;ENG
50;CARGO AND ACCESSORY COMPARTMENTS;MECH-INT;INT
51;STANDARD PRACTICES AND STRUCTURES - GENERAL;Aircraft General;AG
52;DOORS;MECH-INT;INT
53;FUSELAGE;MECH-EXT;EXT
54;NACELLES/PYLONS;MECH-ENG;ENG
55;STABILIZERS;MECH-EXT;EXT
56;WINDOWS;MECH-INT;INT
57;WINGS;MECH-EXT;EXT
60;STANDARD PRACTICES - PROP./ROTOR;MECH-ENG;ENG
61;PROPELLERS/ PROPULSORS;MECH-ENG;ENG
62;MAIN ROTOR(S);MECH-ENG;ENG
63;MAIN ROTOR DRIVE(S);MECH-ENG;ENG
64;TAIL ROTOR;MECH-ENG;ENG
65;TAIL ROTOR DRIVE;MECH-ENG;ENG
66;FOLDING BLADES/PYLON;MECH-ENG;ENG
67;ROTORS FLIGHT CONTROL;MECH-ENG;ENG
71;POWER PLANT;MECH-ENG;ENG
72;ENGINE;MECH-ENG;ENG
72T;ENGINE - TURBINE/TURBOPROP, DUCTED FAN/UNDUCTED FAN;MECH-ENG;ENG
72R;ENGINE - RECIPROCATING;MECH-ENG;ENG
73;ENGINE - FUEL AND CONTROL;MECH-ENG;ENG
74;IGNITION;MECH-ENG;ENG
75;BLEED AIR;MECH-ENG;ENG
76;ENGINE CONTROLS;MECH-ENG;ENG
77;ENGINE INDICATING;MECH-ENG;ENG
78;EXHAUST;MECH-ENG;ENG
79;OIL;MECH-ENG;ENG
80;STARTING;MECH-ENG;ENG
81;TURBINES (RECIPROCATING ENGINES);MECH-ENG;ENG
82;WATER INJECTION;MECH-ENG;ENG
83;ACCESSORY GEAR BOX (ENGINE DRIVEN);MECH-ENG;ENG
84;PROPULSION AUGMENTATION;MECH-ENG;ENG
85;FUEL CELL SYSTEMS;MECH-ENG;ENG
91;CHARTS;Aircraft General;AG
97;WIRING REPORTING;AVIO;AVIO
115;FLIGHT SIMULATOR SYSTEMS;AVIO;AVIO
116;FLIGHT SIMULATOR CUING SYSTEM;AVIO;AVIO
92;ELECTRICAL POWER MULTIPLEXING;AVIO;AVIO
93;SURVEILLANCE;PECULIAR MILITARY CHAPTERS;PMC
94;WEAPON SYSTEM;PECULIAR MILITARY CHAPTERS;PMC
95;CREW ESCAPE AND SAFETY;PECULIAR MILITARY CHAPTERS;PMC
96;MISSILES, DRONES AND TELEMETRY;PECULIAR MILITARY CHAPTERS;PMC
98;METEOROLOGICAL AND ATMOSPHERIC RESEARCH;PECULIAR MILITARY CHAPTERS;PMC
99;ELECTRONIC WARFARE SYSTEM;PECULIAR MILITARY CHAPTERS;PMC
